query_id,query,expected_omics_type,rank,dataset_id,accession,source,reported_omics_type,title,description,organism,sample_count,disease,tissue,relevance_score,quality_score,source_url,annotator_label,annotator_notes
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,1,ena:PRJNA644383,PRJNA644383,ena,transcriptomics,An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer’s disease (RNA-seq with ERCC spike-in) [RNA-Seq],"We report the ERCC spike-in controlled RNA-seq in human hippocampus subject to normal aging and Alzheimer's disease. Overall design: ERCC spike-in controlled RNA-seq in postmortal lateral temporal lobe of Alzheimer's disease affected brains (AD), control Old (Old) and control Young (Young).",Homo sapiens,0,,,1.0,0.364,https://www.ebi.ac.uk/ena/browser/view/PRJNA644383,2,
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,2,geo:GSE159699,GSE159699,geo,transcriptomics,An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer’s disease (RNA-seq) [RNA-seq],We report the bulk RNA-seq in human hippocampus subject to normal aging and Alzheimer's disease.,Homo sapiens,30,,,0.992,0.471,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159699,2,
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,3,ena:PRJNA149963,PRJNA149963,ena,transcriptomics,Whole transcriptome sequencing reveals dynamic RNA changes in the aging rat brain,"Using RNA-seq, 9 cerebral cortex RNA samples were sequenced from 6 month (n=3, 6 individuals pooled), 12 month (n=3, 6 individuals pooled) and 28 month (n=3, 6 individuals pooled) rats. Allowing brain aging in the cerebral cortex to be assessed. Overall design: Transcriptional profiling of the ageing cerebral cortex at 6, 12 and 28 months",Rattus norvegicus,0,,,0.936,0.364,https://www.ebi.ac.uk/ena/browser/view/PRJNA149963,1,"correct assay and brain tissue but rat aging, not human AD"
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,4,ena:PRJNA727602,PRJNA727602,ena,genomics,Integrative analysis of altered genes expressed in human Alzheimer’s disease brain (RNA-Seq),"We had previously performed comparative gene expression profiling of human postmortem Alzheimer’s disease (AD) brains donated for the Hisayama study. The hippocampi from AD brains showed the most significant alteration in gene expression profile [PMID: 23595620]. In the present study, in order to identify molecular pathological alterations in AD hippocampus, we applied human transcriptome array and RNA-sequencing to the same samples and reanalyzed the gene array data, and performed integrative analysis of all 3 methods. We also applied gene array to hippocampus of 6-month-old AppNL-G-F/NL-G-F knock-in AD model mice as a preclinical AD stage model, and at last we performed the interspecies comparison. Functional annotation clustering with the results of all 3 or at least 2 methods in human, showed synapse, cell junction, calmodulin binding, ion transport and glycoproteins as the top affected terms. In hippocampi of AppNL-G-F/NL-G-F mice which exhibit significant amyloidosis but not neur",Homo sapiens,0,,,0.931,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA727602,2,
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,5,ena:PRJNA810717,PRJNA810717,ena,transcriptomics,Long RNA profiles of human brain extracellular vesicles in Alzheimer's disease,"Alzheimer's disease (AD) is the most common neurodegenerative disorder. Extracellular vesicles (EVs) are carriers of nucleic acids, lipids and proteins, and are known to play a significant role in neurodegenerative pathogenesis. The goals of this study are to compare long RNA (exLR) profiling of EVs in normal human brains with which in AD human brain. EVs were isolated from frontal cortex of normal control (n=10) and AD (n=8) donors. Overall design: Examination of long RNA (exLR) profiling in normal human brain-derived EVs and AD human brain-derived EVs.",Homo sapiens,0,,,0.917,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA810717,2,
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,6,ena:PRJNA670925,PRJNA670925,ena,transcriptomics,Ribo-depleted RNA-Seq Libraries From Huntington's Disease Brain,"Transcriptional dysregulation is well documented in Huntington’s disease (HD) post-mortem brain. We previously identified gene expression profiles from both symptomatic and asymptomatic HD prefrontal cortex which characterize the effects of degeneration in disease versus normal brains. Transcriptional dysregulation in HD brain is well documented by these studies and others, but the extent and causes of this dysregulation remain unknown. Here, we present a large ribo-depleted RNA sequencing (rdRNA-Seq) dataset and novel bioinformatic methodology to further characterize transcriptional dysregulation in HD brain as it relates to disease variables, including CAG repeat size, age of symptom onset, and rate of neurodegeneration. Overall design: rdRNA-Seq was performed in 98 post-mortem HD prefrontal cortex samples previously characterized for CAG repeat size and extent of striatal and cortical involvement. rdRNA-Seq data, in contrast to poly-A selected RNA-Seq, allows the assessment of trans",Homo sapiens,0,,,0.915,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA670925,1,"correct assay and brain but Huntington disease, not AD"
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,7,ena:PRJNA644384,PRJNA644384,ena,transcriptomics,An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer’s disease,"This SuperSeries is composed of the SubSeries listed below. Overall design: H3K27ac, H3K9ac, H3K122ac, H3K4me1 ChIP-seq and RNA-seq from Younger, Old and AD samples (lateral temporal lobe brains). Refer to individual Series.",,0,,,0.915,0.333,https://www.ebi.ac.uk/ena/browser/view/PRJNA644384,2,
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,8,geo:GSE294900,GSE294900,geo,transcriptomics,Astrocytic Sox9 preserves cognitive function in models of Alsheimer's Disease [RNA-Seq],"Astrocytes play essential roles in the brain and their dysfunction is associated with nearly every form of neurological disease. Despite their ubiquity, our knowledge of how astrocytes contribute to disease pathogenesis is incomplete, accordingly harnessing their biology towards therapeutics remains a major challenge. Here we show that the transcription factor Sox9 plays a context specific role in maintaining astrocyte function and circuit activity in the aging hippocampus and Alzheimer’s Diseas...",Mus musculus,22,,,0.91,0.531,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294900,1,"correct assay and AD-related but mouse model, not human"
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,9,geo:GSE226507,GSE226507,geo,transcriptomics,Systematic characterization of brain cellular crosstalk reveals a novel role for SEMA6D in TREM2-associated microglial function in Alzheimer’s disease,In this study we characterized the transcriptional effects of SEMA6D treatment in WT and TREM2 KO human induced pluripotent stem cell-derived microglia (iMGL) using RNA-seq.,Homo sapiens,12,,,0.909,0.451,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226507,1,"human brain RNA-seq but iPSC-derived microglia, not AD patient tissue"
E01,RNA-seq Alzheimer's disease human brain,transcriptomics,10,ena:PRJNA434416,PRJNA434416,ena,genomics,RNA-seq of brain tissue from Parkinson's disease patients [coding exome RNA-seq],"High throughput sequencing of coding exome RNA from cingylate gyrus brain tissue obtained from control- and Parkinson´s disease patients. In the Parkinson´s disease affected tissue, changes are present that are known to be related to the pathogenesis of neurodegenerative diseases. Overall design: Two-condition experiment: Cingulate gyrus from eight Control- and eight Parkinson´s disease patients. RNA was isolated from grey matter of the cingulate gyrus samples and libraries were prepared with the TrueSeq RNA Access Kit (Illumina) that is suitable for degraded RNA. Sequencing was performed on an Illumina HiSeq1000 instrument (1 x 50 bp) Please note that Raw data is only available via dbGAP due to privacy concerns",Homo sapiens,0,,,0.909,0.384,https://www.ebi.ac.uk/ena/browser/view/PRJNA434416,1,"brain RNA-seq but Parkinson disease, not AD"
