query_id,query,expected_omics_type,expected_constraints,pool_id,accession,source,reported_omics_type,title,description,organism,sample_count,disease,tissue,source_url,annotator_A_label,annotator_B_label,annotator_C_label,majority_label,consensus_status,adjudicated_label,adjudication_notes
EPI01,H3K27ac enhancer ChIP-seq breast cancer,epigenomics,disease=breast cancer; mark=H3K27ac; assay=ChIP-seq,43361186d03a3302,PRJNA590996,project,Genomics,FiTAc-seq: Fixed-Tissue ChIP-seq for H3K27Ac profiling and super-enhancer analysis on FFPE tissues [human],FiTAc-seq: Fixed-Tissue ChIP-seq for H3K27Ac profiling and super-enhancer analysis on FFPE tissues [human],,,,,https://www.omicsdi.org/dataset/project/PRJNA590996,2,0,1,,no_majority_requires_adjudication,,
EPI01,H3K27ac enhancer ChIP-seq breast cancer,epigenomics,disease=breast cancer; mark=H3K27ac; assay=ChIP-seq,48a340dba221b124,E-GEOD-76732,biostudies-arrayexpress,Genomics,Identification of enhancers in EMT and breast cancer stem cell formation,"Epithelial-mesenchymal transition (EMT), the process whereby cells gain migratory and invasive properties characteristic of mesenchymal cells, plays a central role in embryogenesis and wound healing in a wide range of tissues. However, EMT has also been linked to the formation of cancer stem cells (CSCs). Many of the signaling pathways involved in EMT have also been implicated in CSC formation but the processes that contribute uniquely to CSC formation remain elusive. We have previously demonstrated that PKCÎ¸ activation is critical for EMT induction and concomitant CSC formation in the breast cancer luminal epithelial cell line, MCF7. To discover how PKC-induced alterations in the epigenome influence the EMT and CSC formation in MCF-7 cells and MDA-MB-231, we employed a combination of expression profiling and ChIP-sequencing of H3K4me1 and H3K27ac. 3 biological samples were analyzed with two different chromatin marks.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-76732,2,0,1,,no_majority_requires_adjudication,,
EPI01,H3K27ac enhancer ChIP-seq breast cancer,epigenomics,disease=breast cancer; mark=H3K27ac; assay=ChIP-seq,4ccd63734bff2635,PRJNA486843,project,Genomics,The genome-wide enhancer profiling of breast cancer in the MMTV-PyVT mice [ChIP-seq],The genome-wide enhancer profiling of breast cancer in the MMTV-PyVT mice [ChIP-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA486843,2,0,1,,no_majority_requires_adjudication,,
EPI01,H3K27ac enhancer ChIP-seq breast cancer,epigenomics,disease=breast cancer; mark=H3K27ac; assay=ChIP-seq,663920be30d48a51,E-GEOD-46494,biostudies-arrayexpress,Genomics,Natural genetic variation perturbs collaborative transcription factor binding required for enhancer selection and function,"Natural genetic variation between two mouse strains was used as a natural mutagenesis screen to test various aspects of the proposed model for enhancer selection and function. Chromatin marks H3K4me2, H3K27Ac, and transcription factors PU.1, C/EBPa, and p65 were assessed by ChIP-Seq and GRO-Seq and RNA-Seq were used to measure gene expression in C57BL6/J and BALBc/J inbred mouse strains",Mus musculus,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-46494,2,0,1,,no_majority_requires_adjudication,,
EPI01,H3K27ac enhancer ChIP-seq breast cancer,epigenomics,disease=breast cancer; mark=H3K27ac; assay=ChIP-seq,77d8e3c25809d7e1,PRJNA770972,project,Genomics,Regulatin of KDM5C stability and enhancer reprogramming in breast cancer [ChIP-Seq],Regulatin of KDM5C stability and enhancer reprogramming in breast cancer [ChIP-Seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA770972,2,0,1,,no_majority_requires_adjudication,,
EPI01,H3K27ac enhancer ChIP-seq breast cancer,epigenomics,disease=breast cancer; mark=H3K27ac; assay=ChIP-seq,f9726601bdb429bb,PRJNA513000,project,Genomics,FOXA1 upregulation promotes enhancer and transcriptional reprogramming in endocrine-resistant breast cancer [ChIP-seq],FOXA1 upregulation promotes enhancer and transcriptional reprogramming in endocrine-resistant breast cancer [ChIP-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA513000,2,0,1,,no_majority_requires_adjudication,,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,01d815e52b2ac6b7,PRJNA1154688,project,Genomics,Divergence from the human astrocyte developmental trajectory in glioblastoma [bulk ATAC-seq],Divergence from the human astrocyte developmental trajectory in glioblastoma [bulk ATAC-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA1154688,2,0,1,,no_majority_requires_adjudication,,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,30e58b241cbe917e,E-MTAB-3868,biostudies-arrayexpress,Genomics,ATAC-seq of BMP response in glioblastoma-derived neural stem cells,"Chromatin accessibility was profiled by ATAC-seq in normal and glioblastoma-derived neural stem (GNS) cells, in self-renewing conditions and in response to differentiation stimulus with bone morphogenic protein (BMP).",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-MTAB-3868,2,0,1,,no_majority_requires_adjudication,,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,4091110e6817dfc7,E-MTAB-17183,biostudies-arrayexpress,Transcriptomics,GBM-Space: Joint Transcriptome and Chromatin Accessibility Profiling of Glioblastoma (10x Genomics - Multiome),"Cancer cells display heterogeneous and dynamic states in glioblastoma, but how these malignant states arise and whether they follow a tractable cellular trajectory across tumours is poorly understood. Here, we generate a deep single cell and spatial multi-region atlas of 12 isocitrate dehydrogenase wild-type (IDH-wt) primary glioblastomas that integrates transcriptomic, epigenomic and genomic analysis to comprehensively characterise their tumour heterogeneity. This submission contains the Cell Ranger ARC processed outputs from single nuclei joint transcriptome- and chromatin accessibility-sequencing (10x Genomics). We also provide an integrated single nuclei transcriptomics dataset, comprised of malignant and tumour microenvironment cell type annotations.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-MTAB-17183,2,0,1,,no_majority_requires_adjudication,,
EPI02,ATAC-seq glioblastoma tumor,epigenomics,disease=glioblastoma; assay=ATAC-seq,5f5b810f213c90e7,PRJNA640654,project,Genomics,Histone variant H2AFV equips glioblastoma stem cells with transcriptional potency and efficient DNA damage response [ATAC-seq],Histone variant H2AFV equips glioblastoma stem cells with transcriptional potency and efficient DNA damage response [ATAC-seq],,,,,https://www.omicsdi.org/dataset/project/PRJNA640654,2,0,1,,no_majority_requires_adjudication,,
