query_id,query,rank,dataset_id,accession,source,title,source_url,annotator_A_label,annotator_B_label,adjudicated_label,adjudication_notes
E01,RNA-seq Alzheimer's disease human brain,7,ena:PRJNA644384,PRJNA644384,ena,An integrated multi-omics approach identifies epigenetic alterations associated with Alzheimer’s disease,https://www.ebi.ac.uk/ena/browser/view/PRJNA644384,0,2,2,Includes AD brain RNA-seq in a multi-omics superseries; direct enough for query.
E01,RNA-seq Alzheimer's disease human brain,9,geo:GSE226507,GSE226507,geo,Systematic characterization of brain cellular crosstalk reveals a novel role for SEMA6D in TREM2-associated microglial function in Alzheimer’s disease,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226507,2,1,1,"Human RNA-seq in AD-related microglia model, but not direct brain tissue dataset."
E02,RNA-seq breast cancer tumor normal,1,geo:GSE237728,GSE237728,geo,miRNA-seq and RNA-seq profiles of breast cancer cell lines,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237728,1,2,1,Breast cancer RNA/miRNA cell-line dataset; misses tumor-normal tissue contrast.
E02,RNA-seq breast cancer tumor normal,4,geo:GSE304485,GSE304485,geo,Bulk RNA-Seq gene expression profiles from 13 TCGA cancer types and normal tissues for tumor classification,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE304485,0,1,1,Bulk RNA-seq tumor-normal pan-cancer TCGA-derived set; breast specificity unclear.
E02,RNA-seq breast cancer tumor normal,6,geo:GSE281303,GSE281303,geo,Multimodal Genome-wide Survey of Progressing and Non-progressing Breast Ductal Carcinoma In-Situ [RNA-seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281303,1,2,1,"Breast cancer/DCIS RNA-seq, but tumor-normal contrast is not clear."
E02,RNA-seq breast cancer tumor normal,10,ena:PRJNA195576,PRJNA195576,ena,MicroRNA expression profile of breast cancer patients with adjacent normal control group.,https://www.ebi.ac.uk/ena/browser/view/PRJNA195576,2,1,1,"Breast tumor-adjacent normal expression data, but miRNA rather than requested RNA-seq."
E05,single-cell COVID-19 PBMC immune cells,1,geo:GSE188172,GSE188172,geo,PBMC single cell transcriptomics of COVID-19 patients,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188172,1,2,2,PBMC single-cell transcriptomics from COVID-19 patients.
E05,single-cell COVID-19 PBMC immune cells,7,geo:GSE155223,GSE155223,geo,Single-Cell Omics Reveals Dyssynchrony of the Innate and Adaptive Immune System in Progressive COVID-19 [single-cell RNA-seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155223,1,2,2,COVID-19 immune single-cell RNA-seq dataset.
E05,single-cell COVID-19 PBMC immune cells,8,geo:GSE196198,GSE196198,geo,Longitudinal single-cell multiomics data for different severity of COVID-19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196198,1,2,2,COVID-19 longitudinal single-cell multiomics of immune cells.
E05,single-cell COVID-19 PBMC immune cells,9,geo:GSE155222,GSE155222,geo,Single-Cell Omics Reveals Dyssynchrony of the Innate and Adaptive Immune System in Progressive COVID-19 [CITE-seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155222,1,2,2,COVID-19 CITE-seq/single-cell immune profiling; matches query context.
E06,single-cell human lung atlas,8,geo:GSE171668,GSE171668,geo,COVID-19 tissue atlases reveal SARS-COV-2 pathology and cellular targets,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171668,2,1,2,"Human single-cell lung tissue atlas, although disease-focused."
E07,single-nucleus RNA-seq Alzheimer's cortex,3,geo:GSE143758,GSE143758,geo,Single nuclei RNA-seq of brain of mouse Alzheimer's disease model,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143758,2,1,1,"Single-nucleus AD brain dataset but mouse model, not human cortex."
E07,single-nucleus RNA-seq Alzheimer's cortex,5,cellxgene:180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,cellxgene,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,0,2,2,Human AD single-nucleus cortex/brain-region dataset.
E07,single-nucleus RNA-seq Alzheimer's cortex,6,cellxgene:fcb3d1c1-03d2-41ac-8229-458e072b7a1c,fcb3d1c1-03d2-41ac-8229-458e072b7a1c,cellxgene,Live Human Microglia Single-cell RNA-seq,https://cellxgene.cziscience.com/collections/fcb3d1c1-03d2-41ac-8229-458e072b7a1c,2,1,1,"Human AD/MCI brain microglia single-cell data, but not single-nucleus cortex."
E07,single-nucleus RNA-seq Alzheimer's cortex,7,geo:GSE214244,GSE214244,geo,Single nucleus RNA-seq of brain regions showing high-low Abeta plaque pathology in a mouse model of Alzheimer’s disease,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214244,2,1,1,"Single-nucleus AD brain-region dataset, but mouse model."
E07,single-nucleus RNA-seq Alzheimer's cortex,8,geo:GSE222007,GSE222007,geo,single-nucleus RNA-seq of microvessel-enriched vascular cells and corresponding parenchyma from frontal cortex samples,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222007,0,2,1,"Human frontal cortex single-nucleus dataset, but AD context is not specified."
E07,single-nucleus RNA-seq Alzheimer's cortex,9,cellxgene:a3ffde6c-7ad2-498a-903c-d58e732f7470,a3ffde6c-7ad2-498a-903c-d58e732f7470,cellxgene,Single-nucleus cross-tissue molecular reference maps to decipher disease gene function,https://cellxgene.cziscience.com/collections/a3ffde6c-7ad2-498a-903c-d58e732f7470,0,1,0,Single-nucleus reference map but not AD cortex-specific.
E08,TMT proteomics breast cancer,3,cptac:PDC000580,PDC000580,cptac,PTRC Triple-negative Breast Cancer Mitotic Vulnerability Study - Phosphoproteome,https://pdc.cancer.gov/pdc/study/PDC000580,2,1,2,Breast cancer TMT phosphoproteome; proteomics match.
E08,TMT proteomics breast cancer,4,cptac:PDC000696,PDC000696,cptac,Yonsei Cancer Center - TNBC - Phosphoproteome,https://pdc.cancer.gov/pdc/study/PDC000696,2,1,2,TNBC TMT phosphoproteome; proteomics match.
E08,TMT proteomics breast cancer,5,cptac:PDC000645,PDC000645,cptac,Academia Sinica Gastric Cancer - Proteome,https://pdc.cancer.gov/pdc/study/PDC000645,1,0,0,"TMT proteomics but gastric cancer, not breast cancer."
E08,TMT proteomics breast cancer,6,cptac:PDC000606,PDC000606,cptac,SIMM Gallbladder Cancer - Proteome,https://pdc.cancer.gov/pdc/study/PDC000606,1,0,0,"TMT proteomics but gallbladder cancer, not breast cancer."
E08,TMT proteomics breast cancer,7,cptac:PDC000649,PDC000649,cptac,Academia Sinica Gastric Cancer - Phosphoproteome,https://pdc.cancer.gov/pdc/study/PDC000649,1,0,0,"TMT phosphoproteomics but gastric cancer, not breast cancer."
E08,TMT proteomics breast cancer,8,cptac:PDC000408,PDC000408,cptac,PTRC TNBC - Proteome,https://pdc.cancer.gov/pdc/study/PDC000408,1,2,2,TNBC TMT proteome; direct match.
E08,TMT proteomics breast cancer,9,cptac:PDC000582,PDC000582,cptac,PTRC BRCA CALGB40601 Neoadjuvant Trial - Proteome,https://pdc.cancer.gov/pdc/study/PDC000582,1,2,2,Breast cancer TMT proteome; direct match.
E08,TMT proteomics breast cancer,10,cptac:PDC000607,PDC000607,cptac,SIMM Gallbladder Cancer - Phosphoproteome,https://pdc.cancer.gov/pdc/study/PDC000607,1,0,0,"TMT phosphoproteomics but gallbladder cancer, not breast cancer."
E11,DIA proteomics liver disease,4,pride:PXD006512,PXD006512,pride,Proteome Landscape of Early Stage Hepatocellular Carcinoma Identifies Proteomic Subtypes and New Therapeutic Targets,https://www.ebi.ac.uk/pride/archive/projects/PXD006512,1,2,1,"Liver disease proteomics, but DIA acquisition is not explicit."
E11,DIA proteomics liver disease,5,cptac:PDC000341,PDC000341,cptac,CPTAC PDA Discovery Study - DIA Proteome,https://pdc.cancer.gov/pdc/study/PDC000341,1,0,0,"DIA proteome but pancreatic cancer, not liver disease."
E11,DIA proteomics liver disease,6,pride:PXD008373,PXD008373,pride,Proteome Landscape of Early Stage Hepatocellular Carcinoma Identifies Proteomic Subtypes and New Therapeutic Targets - Phosphorylation data,https://www.ebi.ac.uk/pride/archive/projects/PXD008373,1,2,1,"HCC/liver proteomics-related phosphorylation data, but DIA is not explicit."
E11,DIA proteomics liver disease,8,cptac:PDC000200,PDC000200,cptac,CPTAC CCRCC Discovery Study - DIA Proteome,https://pdc.cancer.gov/pdc/study/PDC000200,2,0,0,"DIA proteome but kidney cancer, not liver disease."
E11,DIA proteomics liver disease,9,cptac:PDC000411,PDC000411,cptac,CPTAC CCRCC Confirmatory Study - DIA Proteome,https://pdc.cancer.gov/pdc/study/PDC000411,2,0,0,"DIA proteome but kidney cancer, not liver disease."
E11,DIA proteomics liver disease,10,cptac:PDC000617,PDC000617,cptac,CPTAC STAD Study - DIA Ubiquitylome,https://pdc.cancer.gov/pdc/study/PDC000617,1,0,0,"DIA/label-free ubiquitylome but gastric cancer, not liver disease."
E12,metabolomics type 2 diabetes plasma,2,massive:MSV000100055,MSV000100055,massive,Untargeted metabolomics of plasma from Gastric Cancer Patients and Healthy Control using LC-MS,https://gnps.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000100055,1,0,0,"Plasma metabolomics but gastric cancer, not type 2 diabetes."
E12,metabolomics type 2 diabetes plasma,8,massive:MSV000099001,MSV000099001,massive,Toward Minimally Invasive Metabolomics: GC-MS metabolic fingerprints of Dried Blood Microsamples in comparison to Plasma,https://gnps.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000099001,1,0,0,Plasma/blood metabolomics method study; no type 2 diabetes context.
E12,metabolomics type 2 diabetes plasma,9,metabolights:MTBLS146,MTBLS146,metabolights,Pregnancy-Induced Metabolic Phenotype Variations in Maternal Plasma,https://www.ebi.ac.uk/metabolights/MTBLS146,1,0,0,"Plasma metabolomics but pregnancy, not type 2 diabetes."
E12,metabolomics type 2 diabetes plasma,10,metabolights:MTBLS191,MTBLS191,metabolights,The use of metabolomics to monitor simultaneous changes in metabolic variables following supramaximal low volume high intensity exercise,https://www.ebi.ac.uk/metabolights/MTBLS191,1,0,0,"Metabolomics exercise study, not type 2 diabetes plasma."
E13,lipidomics obesity serum,1,metabolights:MTBLS495,MTBLS495,metabolights,Absolute quantitative lipidomics reveals lipidome-wide alterations in aging brain (Mouse brain NEG UPLC-MS assay),https://www.ebi.ac.uk/metabolights/MTBLS495,0,1,0,"Lipidomics but aging brain, not obesity serum."
E13,lipidomics obesity serum,3,massive:MSV000094962,MSV000094962,massive,GNPS - Obesity and GDM associated changes in placental and maternal blood lipidomic profile: evidence for sexual dimorphism,https://gnps.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000094962,2,1,1,"Obesity-related lipidomics in maternal blood/placenta, but not serum-specific."
E13,lipidomics obesity serum,9,massive:MSV000097353,MSV000097353,massive,Longitudinal Monkey Plasma Metabolomics and Lipidomics,https://gnps.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000097353,1,0,0,"Plasma lipidomics but caloric restriction/aging in monkeys, not obesity serum."
E15,metabolomics Alzheimer's disease brain,2,metabolights:MTBLS516,MTBLS516,metabolights,"Local and systemic metabolic alterations in brain, plasma, and liver of rats in response to aging and ischemic stroke, as detected by nuclear magnetic resonance (NMR) spectroscopy",https://www.ebi.ac.uk/metabolights/MTBLS516,1,0,1,"Brain metabolomics in aging/stroke, related tissue but not Alzheimer disease."
E15,metabolomics Alzheimer's disease brain,3,metabolights:MTBLS455,MTBLS455,metabolights,Using an NMR metabolomics approach to investigate the pathogenicity of amyloid-beta and alpha-synuclein,https://www.ebi.ac.uk/metabolights/MTBLS455,0,1,1,"Neurodegeneration/amyloid metabolomics-related study, but not clearly AD brain dataset."
E15,metabolomics Alzheimer's disease brain,8,metabolights:MTBLS217,MTBLS217,metabolights,Global Metabolomic Profiling of Mice Brains following Experimental Infection with the Cyst-Forming Toxoplasma gondii,https://www.ebi.ac.uk/metabolights/MTBLS217,1,0,0,"Brain metabolomics but infection model, not Alzheimer disease."
E17,ChIP-seq H3K27ac human stem cells,5,geo:GSE263337,GSE263337,geo,A functional genomics atlas enhanced by convolutional neural networks facilitates clinical interpretation of disease relevant variants in non-coding regulatory elements [ChIP-seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263337,2,1,2,Human stem-cell ChIP-seq including H3K27ac.
E17,ChIP-seq H3K27ac human stem cells,6,geo:GSE245709,GSE245709,geo,ChIP-seq analysis of Hand1 and Foxf1 at different stages of directed cardiac differentiation of mouse embryonic stem cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245709,1,0,0,ChIP-seq stem-cell study but mouse and not H3K27ac.
E17,ChIP-seq H3K27ac human stem cells,8,geo:GSE328191,GSE328191,geo,Multiomic profiling of vascular endothelial cell differentiation from human embryonic stem cells [ChIP-seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328191,2,1,1,"Human embryonic stem-cell ChIP-seq, but H3K27ac target is not explicit."
