query_id,query,expected_omics_type,expected_constraints,pool_id,accession,source,reported_omics_type,title,description,organism,sample_count,disease,tissue,source_url,annotator_label,annotator_notes
T04,multiple sclerosis blood transcriptome,transcriptomics,disease=multiple sclerosis; material=blood; omics=transcriptomics,3d4ed230ee157598,E-MTAB-5151,biostudies-arrayexpress,Transcriptomics,Peripheral blood gene expression profiling in multiple sclerosis,"We measured global mRNA expression in peripheral blood mononuclear cells (PBMC) from 76 individuals, comprising of  49 multiple sclerosis (MS) patients affected with distinct MS clinical forms and 27 healthy controls.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-MTAB-5151,2,
EPI07,aging blood DNA methylation,epigenomics,condition=aging; material=blood; assay=DNA methylation,3d36550d76730c60,E-GEOD-20242,biostudies-arrayexpress,Transcriptomics,Human Aging-associated DNA Hypermethylation Occurs Preferentially at Bivalent Chromatin Domains,"There is a growing realization that some aging-associated phenotypes/diseases have an epigenetic basis. Here we report the first genome-scale study of epigenomic dynamics during normal human aging. We identify aging-associated differentially methylated regions (aDMRs) in whole blood in a discovery cohort, and then replicate these aDMRs in sorted CD4+ T-cells and CD14+ monocytes in an independent cohort, suggesting that aDMRs occur in precursor haematopoietic cells. Further replication of the aDMRs in buccal cells, representing a tissue that originates from a different germ-layer compared with blood, demonstrates that the aDMR signature is a multi-tissue phenomenon. Moreover, we demonstrate that aging-associated DNA hypermethylation occurs predominantly at bivalent chromatin domain promoters. This same category of promoters, associated with key developmental genes, is frequently hypermethylated in cancers and in vitro cell culture, pointing to a novel mechanistic link between aberrant hypermethylation in cancer, aging, and cell culture. We measured the methylation state of 27,578 CpG sites (Illumina HumanMethylation27 array) in sorted human blood cells to validate aging-associated DMRs.",Homo sapiens,,,,https://www.omicsdi.org/dataset/biostudies-arrayexpress/E-GEOD-20242,1,missing assay
MO01,rheumatoid arthritis synovium multi-omics,multi_omics,disease=rheumatoid arthritis; tissue=synovium; omics=multi-omics,9b111ff6d29d74fa,MTBLS243,metabolights,metabolomics,Collagen induced arthritis in dba/1j mice associates with oxylipin changes in plasma,"Oxylipins play important roles in various biological processes and are considered as mediators of inflammation for a wide range of diseases such as rheumatoid arthritis (RA). The purpose of this research was to study differences in oxylipin levels between a widely used collagen-induced arthritis (CIA) mice model and healthy control (Ctrl) mice. DBA/1J male mice (age: 6-7 weeks) were selected and randomly divided into two groups, viz. a CIA- and a Ctrl group. The CIA mice were injected intraperitoneal (i.p.) with the joint cartilage component collagen type II (CII) and an adjuvant injection of lipopolysaccharide (LPS). Oxylipin metabolites were extracted from plasma for each individual sample using solid phase extraction (SPE) and were detected with high performance liquid chromatography/tandem mass spectrometry (HPLC-ESI-MS/MS), using dynamic multiple reaction monitoring (dMRM). Both univariate and multivariate statistical analysis was applied. The results in univariate student's t-test revealed 10 significantly up- or down-regulated oxylipins in CIA mice, which were supplemented by another 6 additional oxylipins, contributing to group clustering upon multivariate analysis. The dysregulation of these oxylipins revealed the presence of ROS-generated oxylipins and an increase of inflammation in CIA mice. The results also suggested that the Collagen-induced arthritis might associate with dysregulation of apoptosis, possibly inhibited by activated NF- κ B because of insufficient PPAR-γ ligands.",,0,,,https://www.ebi.ac.uk/metabolights/MTBLS243,1,"correct topic, wrong omics"
MO06,breast cancer methylome transcriptome multi-omics,multi_omics,disease=breast cancer; modalities=methylome and transcriptome,301b7c4d8111e611,GSE159857,geo,transcriptomics,Multi-omics Analysis reveals novel therapeutic vulnerabilities in lung cancer,"Non-small cell lung cancer (NSCLC) comprises the majority (~85%) of all lung tumors, with lung adenocarcinoma (LUAD) and squamous cell carcinoma (LUSC) being the most frequently diagnosed histological subtypes. Currently, multi-modal omics profiles had been carried out in NSCLC, but no studies reported yet a systems biology approach to provide a complete picture of molecular perturbations specifically for LUAD and LUSC.",Homo sapiens,58,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159857,0,not relevant
T09,GTEx pancreas expression QTL,transcriptomics,context=reference expression; tissue=pancreas; analysis=eQTL,3089c8d765c92544,PDC000615,cptac,proteomics,CPTAC STAD Study - Phosphoproteome,Early Onset Gastric Cancer;Other;Stomach Adenocarcinoma phosphoproteome using TMT18 from Clinical Proteomic Tumor Analysis Consortium proteomics study,Homo sapiens,193,Early Onset Gastric Cancer;Other;Stomach Adenocarcinoma,Not Reported;Stomach,https://pdc.cancer.gov/pdc/study/PDC000615,0,wrong omics
EPI08,neuronal differentiation ATAC-seq,epigenomics,process=neuronal differentiation; assay=ATAC-seq,69823536afca14d1,ENCSR131HOY,encode,epigenomics,ATAC-seq in motor neuron,,,2,,,https://www.encodeproject.org/experiments/ENCSR131HOY/,1,partial constraint match
MG04,soil drought microbiome metagenomics,metagenomics,condition=drought; biome=soil; omics=metagenomics,cdbc85cc3db8e2aa,PRJNA1348911,ena,metagenomics,Soil Health and Microbiome Interactions: Enhancing Drought Resistance in Tropical Coffee Agroecosystems_16S Sequences,"The sequences submitted for this project were obtained as part of a larger effort to quantify the long-term impact of sustainable soil management on soil health in Brazilian tropical coffee agroecosystems, focusing on how these practices influence soil microbiome composition and function under severe drought and plant yield and quality. The plots were selected from an experiment set up in January 2016 in Lavras, Brazil, where treatments had been in place for 6 years at the time of sampling for this study. The soil management treatments included interrow conservation practices as either combined coffee husk residue with signal grass cover between rows, agricultural gypsum with signal grass, or a control consisting of single coffee cropping with bare soil. We investigated drought resistance in soils from the final sampling period via a laboratory incubation that subjected soil samples to drought conditions. The fungal and bacterial communities changed with management and water availability, with rare species favored under drought conditions. Overall, the coffee crop managed using coffee husk combined with the signal grass resulted in a healthier soil that was more resilient to drought.",,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA1348911,2,
T10,drug treated hepatocyte transcriptome toxicity,transcriptomics,disease=drug toxicity; tissue=hepatocyte; omics=transcriptomics,0e56df0c812a52a0,PRJNA236047,ena,genomics,Expression data from primary mouse hepatocytes treated with Diclofenac,"Drug-induced liver injury (DILI) is an important clinical problem. Here we used a genomics approach to establish the critical drug-induced toxicity pathways that act in synergy with the pro-inflammatory cytokine tumor necrosis factor  (TNF) to cause cell death of liver HepG2 cells. Transcriptomics of the cell injury stress response pathways initiated by two hepatoxicants, diclofenac and carbamazepine, revealed the endoplasmic reticulum (ER) stress/translational initiation signaling and Nrf2 antioxidant signaling as two major affected pathways, which was similar to that observed for the majority of ~80 DILI compounds in primary human hepatocytes. The ER stress was primarily related to PERK and ATF4 activation and subsequent expression of CHOP, which was all independent of TNFα signaling. Identical ATF4 dependent transcriptional programs were observed in primary human hepatocytes as well as primary precision cut human liver slices. Targeted RNA interference studies revealed that while ER stress signaling through IRE1α and ATF6 acted cytoprotective, activation of the ER stress protein kinase PERK and subsequent expression of CHOP was pivotal for the onset of drug/TNF-induced apoptosis. While inhibition of the Nrf2-dependent adaptive oxidative stress response enhanced the drug/TNF cytotoxicity, Nrf2 signaling did not affect CHOP expression. Both hepatotoxic drugs enhanced expression of the translational initiation factor EIF4A1, which was essential for CHOP expression and drug/TNF-mediated cell killing. Our data support a model in which enhanced drug-induced translation initiates PERK-mediated CHOP signaling in an EIF4A1 dependent manner, thereby sensitizing towards caspase-8-dependent TNF induced apoptosis. Overall design: 4 biological replicates of Diclofenac and 6 biological replicates of vehicle. 46 hours after isolation, cells were exposed to either 300 µM DCF or the solvent DMSO for 24 hours.",Mus musculus,0,,,https://www.ebi.ac.uk/ena/browser/view/PRJNA236047,1,missing disease
EPI01,H3K27ac enhancer ChIP-seq breast cancer,epigenomics,disease=breast cancer; mark=H3K27ac; assay=ChIP-seq,a689f3c10d1f0bdd,S-EPMC5793780,biostudies-literature,Unknown,Enhancer transcription reveals subtype-specific gene expression programs controlling breast cancer pathogenesis.,,,,,,https://www.omicsdi.org/dataset/biostudies-literature/S-EPMC5793780,1,"correct topic, wrong omics"
MO02,diabetic kidney disease proteogenomics,multi_omics,disease=diabetic kidney disease; omics=proteogenomics,ae52ae1e8c41dcb0,GSE328849,geo,transcriptomics,Spatial transcriptomics identifies IL-32 as a lipid droplet-associated cytokine linked to tubular injury in human diabetic kidney disease [GeoMx],"Diabetic kidney disease (DKD) is a severe complication of diabetes mellitus and the leading cause of chronic kidney disease worldwide. Among the many drivers of tubular injury, lipid accumulation and inflammation are emerging as major contributors to kidney disease progression, but the molecular link between lipid metabolism and inflammatory signaling remains to be determined. Kidney biopsies from patients with DKD across pathologic classes were labelled for lipid droplets and analyzed by Nile R...",Homo sapiens,86,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328849,1,"correct topic, wrong omics"
